"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MOV10",21681.7997982992,-0.823522341786471,0.100124871659422,46.2323565309871,0,0
"H1F0",7881.08111087538,0.196685290765682,0.0602305153793801,27.1669571904217,1.59657453613715e-162,1.3166151912255e-158
"HIST1H1C",1741.38295039648,0.650770976371306,0.0713813282043127,21.6864148656668,2.75650154839786e-104,1.5154326679242e-100
"TXNIP",5133.7485819313,0.688744493499308,0.0710855626532525,20.3557847421326,4.12591103796629e-92,1.70121626872945e-88
"NEAT1",21973.7061220782,0.393336930006129,0.0506386455196903,19.4193591629444,5.29464781253467e-84,1.74649252744269e-80
"KLF10",1694.21092469274,0.882743059582776,0.0659200414140281,19.059422971073,5.48766813299988e-81,1.50846850862612e-77
"INSIG1",11872.5106252916,0.144929779185437,0.0716372610325149,17.8977116047492,1.22867855067351e-71,2.89494219089402e-68
"NR1D1",969.911898302453,0.0279202200630659,0.0887767677065327,17.4459191345947,3.69722657052822e-68,7.62229472846523e-65
"WDFY1",1422.73609085685,0.906296960023784,0.0645250495592355,17.0211455866153,5.72396871400224e-65,1.0489490666671e-61
"HSPA1A",31481.995377175,0.229304770050453,0.0568102220691546,16.6235312420311,4.7076232367167e-62,7.76428300431685e-59
"HSPA6",168.252173523405,-0.981080353472676,0.126594062590724,16.4945678828058,4.01421196207838e-61,6.01876344459625e-58
"HMGCS1",11833.0545489203,0.14829798504881,0.0610511180221949,15.912625305948,5.17952334166064e-57,7.11882320616741e-54
"TMCO1",1718.75785610096,0.946585508869826,0.0623799775811128,15.5452819028697,1.71267352576745e-54,2.17285572772943e-51
"LAMC1",5683.46708801965,1.08339215544226,0.0620193725125709,15.5348001878044,2.01699931778731e-54,2.3761692677333e-51
"HSPA1B",29876.3390804655,0.201438913450737,0.0566801149879677,15.4603001611615,6.42982178172372e-54,7.06980337639795e-51
"MRC2",436.686318383262,0.127164461846895,0.0982793635071048,15.014552631614,5.89583066860123e-51,6.0774959510775e-48
"ZFP36L1",1577.70646783558,1.02737583655735,0.0631123003833843,14.9685948006401,1.17783668716943e-50,1.14270944008737e-47
"ADAMTS1",9567.07025319139,0.179951580858508,0.0707831212295148,14.9162188666677,2.58513162959816e-50,2.36869866483124e-47
"C1orf95",219.673745481546,0.199768227660121,0.109513462440614,14.9045722498,3.07777312750794e-50,2.67166906273624e-47
"ZNF184",764.115693253902,0.592197305824404,0.0747957513289614,14.8403403759514,8.03472457238818e-50,6.62583561861991e-47
"COL2A1",3444.44875424512,0.900447116752881,0.0590897689717272,14.6788792783048,8.80334462062027e-49,6.91397918228048e-46
"ARRDC3",1996.72264555492,0.210169462910477,0.0750899640891222,14.5314706547431,7.65589442258104e-48,5.73948485052859e-45
"HIST1H2BD",558.21163037165,0.967311927258494,0.0943668802833738,14.5009759784268,1.1943947269365e-47,8.56484879624509e-45
"DNAJB1",2961.57051532566,-0.0966031094923537,0.0595598325258518,14.3424831199935,1.18730062009616e-46,8.15922880301917e-44
"FCGRT",580.629055157727,0.708176941389921,0.0854603978987801,14.098192252396,3.89622995481725e-45,2.57042082579203e-42
"ATF3",4277.27376849375,0.60031609154608,0.0537861550221426,14.0936595833235,4.1546158761707e-45,2.63546460175706e-42
"RBM3",7329.51099101475,0.0500529372264403,0.0511544617358585,-14.0786180940776,5.14051773843796e-45,3.14009478000212e-42
"TEX261",2394.29342006114,0.00579764038708587,0.0659485604011792,-14.0194582358143,1.18515924351759e-44,6.98101121547701e-42
"BTG2",1874.92080817096,0.552344856139713,0.0625889461995602,13.6215408249477,2.98208933743646e-42,1.69598618766688e-39
"PLK2",1219.22439769335,0.6544004490287,0.0763987191247353,13.5906649002864,4.54928725710976e-42,2.50104649105038e-39
"HDGF",12116.9614884001,-0.065651154862418,0.0470288803068224,-13.5628134777738,6.65342529415548e-42,3.49267972432497e-39
"POLR3H",1725.30177464964,-0.178089287986046,0.0600682479433019,-13.5614686157495,6.77655679248159e-42,3.49267972432497e-39
"SAT1",2856.29046986055,0.049752507524284,0.0640210824756144,13.5383990204328,9.27891958706338e-42,4.63749153786171e-39
"ODC1",8981.92787397786,0.022808303673809,0.0489586564965538,-13.3366306573987,1.41721543267299e-40,6.87474533266932e-38
"SEC61A2",895.906001503779,-0.759774634459066,0.0693575143859942,-13.2665783480695,3.61723762880483e-40,1.70454572033937e-37
"C11orf96",959.961336276994,0.221554030465799,0.0880265459286954,13.1567226834084,1.55694046149796e-39,7.13294973096831e-37
"CREB3L2",2361.20987927367,0.018586215875783,0.0576010192422308,12.9749805775849,1.69639342259802e-38,7.36279387339715e-36
"HNRNPM",9938.53995734299,0.0140404837252144,0.0516603515317613,-12.9763368404429,1.66662856086985e-38,7.36279387339715e-36
"CDKN1A",2752.3933381421,1.0730958786569,0.0641666015175822,12.9601529804684,2.05836620199053e-38,8.70477788959737e-36
"EI24",4362.26043349559,0.0851449856448424,0.0558611250173876,-12.8296573776128,1.1185773933439e-37,4.61217423710522e-35
"PLXND1",1115.42760686056,0.489484804458825,0.0724480447331602,12.6826405729344,7.38029606298123e-37,2.96885909674998e-34
"TATDN2",2572.26716955954,-0.0136415342699059,0.0536817554326515,-12.5890342620134,2.4262353213789e-36,9.52759503702435e-34
"ZNF256",657.471960623069,0.344003602327101,0.0789952895376671,12.5754228393619,2.88253864485101e-36,1.10562115975646e-33
"FOXM1",6859.39167677743,0.0227509860200724,0.0592023385866271,-12.4319749629422,1.75250399135416e-35,6.56910189304639e-33
"CRABP2",1076.1525105273,0.0192454358933834,0.082865699629272,12.2700035979844,1.31247514001376e-34,4.81036721872155e-32
"MBNL1",2821.94372890797,0.643043909600725,0.0617601429480552,12.2586298140127,1.51032054726534e-34,5.41515582305375e-32
"TSPYL2",2542.6624266549,0.318211799994289,0.0568163329321162,12.1812271574428,3.91348728155094e-34,1.37330097307701e-31
"SLFN5",339.241634532502,0.221795680413462,0.0954677298270615,12.1546523855821,5.4191801251402e-34,1.86205287091536e-31
"EGR1",2275.17422063908,0.893612385101343,0.0729061408037869,-12.0829512147052,1.29969588537503e-33,4.37467025254907e-31
"BTBD6",1194.05136845351,-0.097734797156243,0.0643380444138016,-12.0663178378417,1.59095030996041e-33,5.24790869243539e-31
"DNAJC5",2474.5467606432,-0.285797298620494,0.0616058106896449,-11.9756210561725,4.76853288796685e-33,1.54210613571053e-30
"APLP2",8392.249966235,1.13762251084937,0.0539061078137204,11.9668017857841,5.30337178421039e-33,1.68208674686504e-30
"DYRK2",1742.56857673897,0.52509031864345,0.0581071950079841,11.8603845790079,1.90099958214557e-32,5.91569549213713e-30
"UBFD1",3405.49091288875,-0.0838718275460481,0.0538032668759364,-11.7531799097937,6.8010443250495e-32,2.07721526024151e-29
"IRS4",22475.0433411525,-0.0833694015614511,0.0488341981754052,11.7454074814759,7.45622302656469e-32,2.23591793412966e-29
"IRAK1",5811.40589988045,0.0373792476459172,0.0543282913101075,-11.697298659395,1.31575557517898e-31,3.87513512525481e-29
"HERPUD1",1307.21560077683,0.178543923330371,0.0653182676414616,11.6851065963154,1.51888888994727e-31,4.39491832664919e-29
"LOC100499177",1897.20175019736,0.309054661147042,0.0693855811149949,11.6746158643094,1.718402101072e-31,4.88648376775525e-29
"SNHG15",1736.25909422369,0.436074079836982,0.0649921868939426,11.6696407504318,1.82190966063e-31,5.09300949707977e-29
"ITGA5",1302.01868527193,0.431299623069507,0.069537992266689,11.5514355548691,7.25975696048948e-31,1.99558619248922e-28
"QARS",2358.6712722188,0.0849208949843855,0.062423534245346,11.5482693607719,7.53218818638078e-31,2.03653081570456e-28
"ZNF512B",2472.24547480206,-0.1922070042317,0.0626019741408182,-11.4973173595171,1.36079284798437e-30,3.61992845835583e-28
"CIZ1",3036.27361542595,0.000491568468081641,0.0656732167379838,-11.492999627346,1.43056669192372e-30,3.74513276982507e-28
"LRRC8D",1802.02204523026,0.148131837993863,0.0599844046817402,11.4502210704662,2.34546585349873e-30,6.04433880027415e-28
"ZNF266",1572.82714670882,0.321728736671543,0.0623759004601213,11.4241004097777,3.16920390743134e-30,8.0414892377331e-28
"IGFBP5",1515.21502400975,0.0939051271490937,0.0642772291304956,11.4134176158523,3.58366633110348e-30,8.95536496952875e-28
"EGFR",473.602809513985,0.594833187917716,0.0894080450486546,11.3928951370968,4.53661197294107e-30,1.11675136223458e-27
"CDC25B",1945.57557797359,-0.471302481546812,0.062488523961086,-11.3689321514717,5.97136390272018e-30,1.44831918893476e-27
"EEF1A2",3181.13250585078,-0.0756688523251564,0.0703099834319657,11.3275459974277,9.58527150520425e-30,2.29115772370049e-27
"PEBP1",5152.70273377708,-0.098073300171771,0.0570030740682561,-11.2726200678652,1.79157932906933e-29,4.2212168391915e-27
"UBAP2L",9273.91006089288,0.0447116039786859,0.0466935733729528,-11.2441264292832,2.47535048553145e-29,5.75013458561552e-27
